Month,Title,Platform(s),Genre(s),Developer(s),Publisher(s)
JANUARY,3,Freddi Fish 3: The Case of the Stolen Conch Shell,NS,Adventure,Humongous Entertainment,UFO Interactive Games
JANUARY,3,Putt-Putt Travels Through Time,NS,Adventure,Humongous Entertainment,UFO Interactive Games
JANUARY,4,Deep Rock Galactic,"PS4, PS5",First-person shooter,Ghost Ship Games,Coffee Stain Publishing
JANUARY,4,The Pedestrian,"XBO, XSX","Puzzle, platform",Skookum Arts LLC,Skookum Arts LLC
JANUARY,6,Demon Gaze Extra,"NS, PS4",Role-playing,Cattle Call,Clouded Leopard Entertainment
JANUARY,6,QuickSpot,NS,Puzzle,Bandai Namco Online,Bandai Namco Entertainment
JANUARY,10,Japanese Rail Sim: Journey to Kyoto,NS,Train simulator,Sonic Powered,Sonic Powered
JANUARY,10,Picross S7,NS,Puzzle,Jupiter,Jupiter
JANUARY,12,Monster Hunter Rise,Win,Action role-playing,Capcom,Capcom
JANUARY,12,SNK vs. Capcom: Card Fighters Clash,NS,Digital collectible card game,SNK,SNK
JANUARY,13,Astroneer,NS,"Sandbox, adventure",System Era Softworks,System Era Softworks
JANUARY,13,Boomerang Fu,"PS4, PS5","Fighting, party",Cranky Watermelon,Cranky Watermelon
JANUARY,13,Deemo II,"iOS, Droid",Rhythm,Rayark,Rayark
JANUARY,13,Eschatos,NS,Scrolling shooter,Qute Corporation,Qute Corporation
JANUARY,13,Mary Skelter 2,Win,"Role-playing, dungeon crawler",Compile Heart,Ghostlight
JANUARY,13,Nova-111,NS,Adventure,Funktronic Labs,No Gravity Games
JANUARY,13,Shadow Man Remastered,"PS4, XBO",Action-adventure,"Nightdive Studios, Acclaim Entertainment",Nightdive Studios
JANUARY,13,Spelunky 2,"XBO, XSX","Platform, roguelike","Mossmouth, BlitWorks",Mossmouth
JANUARY,14,God of War,Win,Action-adventure,"Jetpack Interactive, Santa Monica Studio",PlayStation PC
JANUARY,17,Shadow Man Remastered,NS,Action-adventure,"Nightdive Studios, Acclaim Entertainment",Nightdive Studios
JANUARY,18,Nobody Saves the World,"Win, XBO, XSX",Action role-playing,Drinkbox Studios,Drinkbox Studios
JANUARY,18,River City Girls,PS5,Beat 'em up,WayForward,Arc System Works
